CH04,CH06,adequi
1,-1,0.35
1,1,0.37
1,2,0.46
1,3,0.51
1,4,0.55
1,5,0.6
1,6,0.64
1,7,0.66
1,8,0.68
1,9,0.69
2,-1,0.35
2,1,0.37
2,2,0.46
2,3,0.51
2,4,0.55
2,5,0.6
2,6,0.64
2,7,0.66
2,8,0.68
2,9,0.69
1,10,0.79
1,11,0.82
1,12,0.85
1,13,0.9
1,14,0.96
1,15,1.0
1,16,1.03
1,17,1.04
2,10,0.7
2,11,0.72
2,12,0.74
2,13,0.76
2,14,0.76
2,15,0.77
2,16,0.77
2,17,0.77
1,18,1.02
1,19,1.02
1,20,1.02
1,21,1.02
1,22,1.02
1,23,1.02
1,24,1.02
1,25,1.02
1,26,1.02
1,27,1.02
1,28,1.02
1,29,1.02
1,30,1.0
1,31,1.0
1,32,1.0
1,33,1.0
1,34,1.0
1,35,1.0
1,36,1.0
1,37,1.0
1,38,1.0
1,39,1.0
1,40,1.0
1,41,1.0
1,42,1.0
1,43,1.0
1,44,1.0
1,45,1.0
1,46,1.0
1,47,1.0
1,48,1.0
1,49,1.0
1,50,1.0
1,51,1.0
1,52,1.0
1,53,1.0
1,54,1.0
1,55,1.0
1,56,1.0
1,57,1.0
1,58,1.0
1,59,1.0
1,60,1.0
1,61,0.83
1,62,0.83
1,63,0.83
1,64,0.83
1,65,0.83
1,66,0.83
1,67,0.83
1,68,0.83
1,69,0.83
1,70,0.83
1,71,0.83
1,72,0.83
1,73,0.83
1,74,0.83
1,75,0.83
2,18,0.76
2,19,0.76
2,20,0.76
2,21,0.76
2,22,0.76
2,23,0.76
2,24,0.76
2,25,0.76
2,26,0.76
2,27,0.76
2,28,0.76
2,29,0.76
2,30,0.77
2,31,0.77
2,32,0.77
2,33,0.77
2,34,0.77
2,35,0.77
2,36,0.77
2,37,0.77
2,38,0.77
2,39,0.77
2,40,0.77
2,41,0.77
2,42,0.77
2,43,0.77
2,44,0.77
2,45,0.77
2,46,0.76
2,47,0.76
2,48,0.76
2,49,0.76
2,50,0.76
2,51,0.76
2,52,0.76
2,53,0.76
2,54,0.76
2,55,0.76
2,56,0.76
2,57,0.76
2,58,0.76
2,59,0.76
2,60,0.76
2,61,0.67
2,62,0.67
2,63,0.67
2,64,0.67
2,65,0.67
2,66,0.67
2,67,0.67
2,68,0.67
2,69,0.67
2,70,0.67
2,71,0.67
2,72,0.67
2,73,0.67
2,74,0.67
2,75,0.67
2,76,0.63
2,77,0.63
2,78,0.63
2,79,0.63
2,80,0.63
2,81,0.63
2,82,0.63
2,83,0.63
2,84,0.63
2,85,0.63
2,86,0.63
2,87,0.63
2,88,0.63
2,89,0.63
2,90,0.63
2,91,0.63
2,92,0.63
2,93,0.63
2,94,0.63
2,95,0.63
2,96,0.63
2,97,0.63
2,98,0.63
2,99,0.63
2,100,0.63
2,101,0.63
2,102,0.63
2,103,0.63
2,104,0.63
2,105,0.63
2,106,0.63
2,107,0.63
2,108,0.63
2,109,0.63
2,110,0.63
1,76,0.74
1,77,0.74
1,78,0.74
1,79,0.74
1,80,0.74
1,81,0.74
1,82,0.74
1,83,0.74
1,84,0.74
1,85,0.74
1,86,0.74
1,87,0.74
1,88,0.74
1,89,0.74
1,90,0.74
1,91,0.74
1,92,0.74
1,93,0.74
1,94,0.74
1,95,0.74
1,96,0.74
1,97,0.74
1,98,0.74
1,99,0.74
1,100,0.74
1,101,0.74
1,102,0.74
1,103,0.74
1,104,0.74
1,105,0.74
1,106,0.74
1,107,0.74
1,108,0.74
1,109,0.74
1,110,0.74
